Ticker,Date,Weightage,Adjusted Weightage,Open,Close,RSI
ADANIPORTS,2023-11-12,0.0082,0.0082,804.5480954177436,805.1455078125,53.786482566087244
APOLLOHOSP,2023-11-12,0.0061,0.0061,5287.096581725988,5265.64892578125,65.7749150397852
ASIANPAINT,2023-11-12,0.0195,0.0195,3035.3779154408185,3041.755126953125,50.5273475938723
AXISBANK,2023-11-12,0.0257,0.0257,1017.1150375499366,1028.40625,61.13249513486861
BAJAJFINSV,2023-11-12,0.012,0.012,1580.003231421449,1594.9937744140625,53.990113654433934
BAJFINANCE,2023-11-12,0.0237,0.0237,7333.186615683792,7407.61279296875,41.639362405307175
BHARTIARTL,2023-11-12,0.0233,0.0233,923.8515741133168,930.3155517578125,54.27914773451978
BPCL,2023-11-12,0.0046,0.0041400000000000005,176.6301907204915,177.6710968017578,73.40151531402798
BRITANNIA,2023-11-12,0.0052,0.0052,4597.607277498233,4621.79248046875,63.463662223130996
CIPLA,2023-11-12,0.0068,0.0068,1227.4425013148848,1229.673583984375,63.641152109110834
COALINDIA,2023-11-12,0.0051,0.0051,292.8621581425597,291.91436767578125,67.70036344158846
DIVISLAB,2023-11-12,0.0077,0.0077,3469.7540815472594,3471.890869140625,45.38558396539987
DRREDDY,2023-11-12,0.0067,0.0067,1055.9656012311739,1053.044189453125,47.646344652251926
EICHERMOT,2023-11-12,0.0049,0.0049,3501.206705246505,3501.948486328125,60.98914339730389
GRASIM,2023-11-12,0.0085,0.0085,1915.0469362301844,1927.896240234375,57.018010065334266
HCLTECH,2023-11-12,0.0153,0.0153,1218.6541388509004,1212.0408935546875,50.57570818086504
HDFCBANK,2023-11-12,0.081,0.081,1460.160777815708,1471.4072265625,43.82888721885941
HDFCLIFE,2023-11-12,0.0072,0.0072,618.7457656452249,624.6257934570312,51.29974290336319
HEROMOTOCO,2023-11-12,0.0043,0.0043,3133.8279268761694,3066.04345703125,50.140752285099204
HINDALCO,2023-11-12,0.0094,0.0094,479.3023657228014,478.556640625,55.632040156166475
HINDUNILVR,2023-11-12,0.0267,0.0267,2434.6148316101794,2444.00146484375,49.00477517847426
ICICIBANK,2023-11-12,0.069,0.069,926.9203741310487,930.5887451171875,50.67460997526928
INDUSINDBK,2023-11-12,0.0085,0.0085,1483.4806603274467,1482.3433837890625,61.169261123761686
INFY,2023-11-12,0.0766,0.0766,1335.548794252723,1334.4764404296875,40.18449138812042
ITC,2023-11-12,0.0303,0.0303,420.6513596735474,422.7333068847656,48.02984439596924
JSWSTEEL,2023-11-12,0.0094,0.0094,746.0558429873712,748.8836669921875,48.50684676614883
KOTAKBANK,2023-11-12,0.0351,0.0351,1732.7008439697504,1743.5389404296875,50.22493475698422
LT,2023-11-12,0.0274,0.0274,2997.487243868125,3009.592041015625,59.526364825470154
MARUTI,2023-11-12,0.0137,0.0137,10277.921116970641,10291.591796875,49.38715127611706
NESTLEIND,2023-11-12,0.0087,0.0087,2405.4232918497028,2396.531982421875,59.24178226597448
NTPC,2023-11-12,0.0099,0.0099,232.27512747133352,237.06027221679688,60.98180945095529
ONGC,2023-11-12,0.0078,0.0078,178.59936054743457,181.56520080566406,65.7237595631536
POWERGRID,2023-11-12,0.0104,0.0104,198.57264235261846,199.18580627441406,69.23745488731046
RELIANCE,2023-11-12,0.1286,0.1286,1144.9764503053682,1149.6197509765625,48.184839566958026
SBILIFE,2023-11-12,0.0065,0.0065,1349.3762059070439,1352.9697265625,57.47584227490762
SBIN,2023-11-12,0.0254,0.0254,568.2702869707213,569.9422607421875,53.58143356636835
SHREECEM,2023-11-12,0.0046,0.0046,25863.28531856274,26259.794921875,54.70507138701812
SUNPHARMA,2023-11-12,0.0134,0.0134,1163.7051464883475,1168.9583740234375,64.73919165594616
TATACONSUM,2023-11-12,0.0066,0.0066,896.6679701935367,906.4505615234375,57.77208003653311
TATAMOTORS,2023-11-12,0.0105,0.0105,647.3522759191462,649.0470581054688,56.5978623479739
TATASTEEL,2023-11-12,0.0137,0.0137,117.13989840226947,117.67903900146484,44.60964734744598
TCS,2023-11-12,0.0491,0.0491,3282.9760218593915,3278.5009765625,37.1085049741574
TECHM,2023-11-12,0.0105,0.0105,1091.7846500191715,1107.499755859375,44.15482937816799
TITAN,2023-11-12,0.0137,0.0137,3252.407836071194,3245.729736328125,53.186186272344464
ULTRACEMCO,2023-11-12,0.0102,0.0102,8540.40255095632,8659.49609375,64.20207059619763
UPL,2023-11-12,0.006,0.006,549.0487205876152,546.2036743164062,34.721338157147486
WIPRO,2023-11-12,0.0101,0.0101,189.34067585076127,188.84280395507812,30.562537713364225
